member,date_created,date_updated,id,email,name,badge,observed_id,active,comments,last_audio_ts,last_audio_ts_fract,last_proximity_ts,last_contacted_ts,last_voltage,last_seen_ts,last_unsync_ts,project,region
DGDZ6VUX8C,2019/5/28 12:56,2019/5/28 12:56,80,,Badge377,FF:A3:C1:AE:75:70,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
WO2LI35VPN,2019/5/28 12:56,2019/5/28 12:56,79,,Badge376,DB:48:EB:34:4D:94,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
N87XWKDN63,2019/5/28 12:56,2019/5/28 12:56,78,,Badge375,D4:1C:A4:EB:29:FB,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
MVYAANIGBF,2019/5/28 12:56,2019/5/28 12:56,77,,Badge374,E4:AC:DB:92:47:96,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
BGDAR6QAZ4,2019/5/28 12:56,2019/5/28 12:56,76,,Badge373,F9:F9:98:4A:34:F7,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
6FI0Z5BPM9,2019/5/28 12:56,2019/5/28 12:56,75,,Badge372,DA:31:77:CA:87:76,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
ORCY5PX3BG,2019/5/28 12:56,2019/5/28 12:56,74,,Badge371,E5:4D:98:FA:71:17,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
XWX0GF9XXM,2019/5/28 12:56,2019/5/28 12:56,73,,Badge370,C5:F5:0F:6F:9C:14,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
MKFK72B1N6,2019/5/28 12:56,2019/5/28 12:56,72,,Badge369,C5:11:7C:F1:32:30,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
2ZNIW64VDH,2019/5/28 12:56,2019/5/28 12:56,71,,Badge368,DF:AC:8D:25:B7:55,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
ZP01X8QVK2,2019/5/28 12:56,2019/5/28 12:56,70,,Badge367,C1:DB:D7:92:DA:28,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
MIJ7PMFGS1,2019/5/28 12:56,2019/5/28 12:56,69,,Badge366,EA:1B:D3:A8:59:C9,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
UTAH98VIOQ,2019/5/28 12:56,2019/5/28 12:56,68,,Badge365,FD:63:1F:CA:6B:DD,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
K2TE4D16C5,2019/5/28 12:56,2019/5/28 12:56,67,,Badge364,EC:2E:D8:FB:49:3B,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
W08M5SYCVN,2019/5/28 12:56,2019/5/28 12:56,66,,Badge363,CD:FB:1D:8B:C1:1A,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
K05UC9Y0NF,2019/5/28 12:56,2019/5/28 12:56,65,,Badge362,D1:87:0D:65:DD:77,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
PHTQOKWUNK,2019/5/28 12:56,2019/5/28 12:56,64,,Badge361,C1:10:19:FA:B5:B4,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
ASGTO01DNR,2019/5/28 12:56,2019/5/28 12:56,63,,Badge360,FD:55:19:27:0A:17,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
5EL9YCHKZW,2019/5/28 12:56,2019/5/28 12:56,62,,Badge359,F8:BB:41:BB:A3:57,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
77XWMB0OYS,2019/5/28 12:56,2019/5/28 12:56,61,,Badge358,C3:50:A9:2F:35:25,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
U242CQ4MX8,2019/5/28 12:56,2019/5/28 12:56,60,,Badge357,E1:95:9B:0B:F4:08,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
9H8DICFPAE,2019/5/28 12:56,2019/5/28 12:56,59,,Badge356,F6:1A:61:CB:B5:2A,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
FSXZN58NL1,2019/5/28 12:56,2019/5/28 12:56,58,,Badge355,E9:DA:5A:21:D3:7D,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
BPQLKMOL9N,2019/5/28 12:56,2019/5/28 12:56,57,,Badge354,FD:D5:D8:A8:FE:AB,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
BAJL93JKPF,2019/5/28 12:56,2019/5/28 12:56,56,,Badge353,D5:91:DE:D9:CF:EB,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
0EIDEMD1R9,2019/5/28 12:56,2019/5/28 12:56,55,,Badge352,F5:51:3A:E8:76:8C,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
6HRSH0ZCGH,2019/5/28 12:56,2019/5/28 12:56,54,,Badge351,FD:4A:0B:45:D3:8C,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
RDWK38E03R,2019/5/28 12:56,2019/5/28 12:56,53,,Badge350,DA:93:15:50:20:7E,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
N77Q1QW5U0,2019/5/28 12:56,2019/5/28 12:56,52,,Badge349,D6:1C:EA:7A:66:58,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
LLRLWVL5ZF,2019/5/28 12:56,2019/5/28 12:56,51,,Badge348,F2:7D:78:0F:1C:12,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
E68XQWH83K,2019/5/28 12:56,2019/5/28 12:56,50,,Badge347,D2:20:B0:1E:AD:BB,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
YKLASWLX12,2019/5/28 12:56,2019/5/28 12:56,49,,Badge346,DD:A3:9D:05:38:8B,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
YT7HBOM7D9,2019/5/28 12:56,2019/5/28 12:56,48,,Badge345,C0:FD:A1:67:A2:9C,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
1ZZAV6Q1XG,2019/5/28 12:56,2019/5/28 12:56,47,,Badge344,E7:49:9B:F8:55:3B,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
7N4T90AD7R,2019/5/28 12:56,2019/5/28 12:56,46,,Badge343,E7:83:6A:42:88:AA,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
OHRS4FV3S7,2019/5/28 12:56,2019/5/28 12:56,45,,Badge342,DC:4A:A6:FB:FE:5E,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
KK4XOZN9VJ,2019/5/28 12:56,2019/5/28 12:56,44,,Badge341,EB:D7:D3:8D:E6:D9,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
JI5E8ZLNIC,2019/5/28 12:56,2019/5/28 12:56,43,,Badge340,DD:D8:75:F7:CD:B2,0,1,,1559048173,0,1559048173,0,0,0,0,1,Team1
